GUID,ชื่อพรรค,คำนำหน้าชื่อ,ชื่อ,นามสกุล,ลำดับบัญชีรายชื่อ,อายุ,การศึกษาสูงสุด,อาชีพล่าสุด,ประกาศ/ไม่ประกาศ
C9C34B1B-8172-4B44-9B12-756526AB0CE2,กรีน,นาย,พงศา,ชูแนม,1,54,ปริญญาตรี,รับราชการ,ประกาศ
6C5F6A72-B648-4A23-BC53-9FF92664BC86,กรีน,นาย,สุเทพ,คงเทศ,2,48,ปริญญาตรี,นักธุรกิจ,ประกาศ
9CFE68C9-36F5-40A4-B00B-05D1A9E9130C,กรีน,นาย,วีระพงศ์,สกล,3,49,ปริญญาตรี,เกษตรกรรม,ประกาศ
FF695C38-7B45-408C-A112-348166760D0F,กรีน,นาย,สุพจน์,บุญยัง,4,49,ปริญญาตรี,เกษตรกร,ประกาศ
2EAA3E26-5275-4F0E-A794-7C0E102D71CC,กรีน,นาย,ภักดี,หิรัญ,5,66,ปริญญาตรี,เกษตรกรรม,ประกาศ
A26E7D3A-37CC-4C35-BA76-3DF0ABB01A41,กรีน,นาย,สธรรดร,เพชรพลาย,6,43,ปริญญาตรี,เกษตรกรรม-ค้าขาย,ประกาศ
15A76A26-2125-4B5B-9A4A-7AABCF1C3033,กรีน,นาย,จิระณัฏฐ์,ไชยวารี,7,52,ปริญญาตรี,เกษตรกร,ไม่ประกาศ
0205B9B6-C128-43EA-B56F-BA6E977FA866,กรีน,นาย,ประหยัด,โททุมพล,8,60,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
A5D1CE6D-B0BF-450E-BA26-AF080E3CDE14,กรีน,นาย,วุฒิ,บุญเลิศ,9,64,ปริญญาตรี,เกษตรกร,ไม่ประกาศ
5B0F576E-760F-4AD4-B394-943259C7CB6E,กรีน,นาย,สหพันธ์,จันทพันธ์,10,60,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
CE6EDC14-CE8A-465A-83EB-41DA97FD02A7,กรีน,นาย,เกริก,มีมุ่งกิจ,11,60,ปริญญาตรี,เกษตรกร,ประกาศ
E7A65666-D55D-4C86-834B-346FB0D04AD5,กรีน,นาย,ชณะกฤช,อิ้ววังโส,12,49,ปริญญาตรี,พนักงานองค์กรของรัฐ,ประกาศ
7E77B936-8126-4428-980B-C7B52F1544F6,กรีน,นาง,พิชามญชุ์,ปล้องพันธ์,13,45,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
78937EB9-A265-4345-8138-72C3BF5BAF02,กรีน,นาย,สมุทร,สุ่มมาตย์,14,60,ปริญญาตรี,ข้าราชการบำนาญ,ไม่ประกาศ
125AC992-3760-4B64-8F73-52748BF09E21,กรีน,นางสาว,ชฎาภรณ์,พันธ์ทอง,15,26,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
0E4F4E03-4982-40CD-A418-42616DDB3884,กลาง,นาย,ชุมพล,ครุฑแก้ว,1,49,ปริญญาเอก,นักวิจัย,ประกาศ
CCE09C9C-2CC8-44B1-B200-8A789C8D0A73,กลาง,นางสาว,นวรัตน์,ไชยพลอนันท์,2,39,ปริญญาตรี,ผู้บริหาร บริษัท พาต้า แฮปปี้ ไลฟ์ โซไซตี้ จำกัด,ประกาศ
C26C2EDC-3B9B-4458-B9B8-E025BD069725,กลาง,นาย,ชาติชาย,ตู้ประกาย,3,44,ปริญญาตรี,"ค้าขาย , เกษตรกร",ประกาศ
77CF389D-E97A-4E47-B59A-6B7E3237DF3E,กลาง,นาย,สุขทวี,สุวรรณชัยรบ,4,40,ปริญญาโท,ที่ปรึกษา,ประกาศ
17FF5F12-42B2-4973-A4E3-E603687CC811,กลาง,นางสาว,ชนาธิป,เตียวเจริญโชค,5,28,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
1F566971-AB35-4793-9CE2-CDE1FF62D17C,กลาง,นาย,ภูมิ วชร,เจริญผลิตผล,6,42,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
B9275950-5904-470C-8093-866768D40F2A,กสิกรไทย,นาย,ทรรศชล,พงษ์ภควัต,1,38,ปริญญาเอก,ผู้จัดการฝ่ายตลาด,ประกาศ
84D50AF2-AAB6-49B4-AECA-F3A9B207785C,คนงานไทย,นาย,ธีระ,เจียบุญหยก,1,74,ปริญญาเอก,ข้าราชการบำนาญ,ประกาศ
69C2D8EF-9139-4C12-8512-E5BA02076538,คนธรรมดาแห่งประเทศไทย,นาย,ธนพร,ศรียากูล,1,48,ปริญญาเอก,นักวิชาการ,ประกาศ
A03F7391-641E-45BF-B1A7-88E043E6FDDF,คนธรรมดาแห่งประเทศไทย,นาย,สมชาย,ศรีสัมพันธ์,2,54,ปริญญาโท,รับจ้าง,ประกาศ
F4763C7E-6799-4246-8CD5-A95C77A449D0,ครูไทยเพื่อประชาชน,นาย,ปรีดา,บุญเพลิง,1,67,ปริญญาโท,รับราชการ,ประกาศ
E4E3CDCB-B1BD-4984-9D94-907E29FA2D13,ครูไทยเพื่อประชาชน,นาย,สุวิชญ์,โยทองยศ,2,72,ปริญญาเอก,ธุรกิจส่วนตัว,ประกาศ
F9D7EA3B-1D4E-4DC7-B89D-6CC34E41EF32,ครูไทยเพื่อประชาชน,นาย,ศักดิ์ดา,สามารถ,3,68,ปริญญาโท,-,ประกาศ
B9381551-0E7C-4B73-B534-8DED0B679940,ครูไทยเพื่อประชาชน,นาย,สรสินธุ,ไตรจักรภพ,4,73,ปริญญาโท,นักธุรกิจ,ประกาศ
E1C6ECF9-41CD-4A04-9B4F-4AB91C609C48,ครูไทยเพื่อประชาชน,ศาสตราจารย์ ,ชัยพร,ธนถาวรกิจ,5,72,ปริญญาเอก,อดีตคณบดี บริหารธุรกิจ มหาวิทยาลัยกรุงเทพธนบุรี,ประกาศ
5ED2C1B8-2C29-4097-A7C8-CE0577C12774,ครูไทยเพื่อประชาชน,นาย,สมศักดิ์,มกรมณเฑียร,6,57,ปริญญาเอก,ผู้รับใบอนุญาตโรงเรียนเอกชน,ประกาศ
38AB8111-C580-4C1A-8BB0-3ABDCF210384,ครูไทยเพื่อประชาชน,นาย,ปรัชญา,มั่นทน,7,62,ปริญญาเอก,รับราชการครู,ประกาศ
847CD922-A4B4-42F0-9582-E0031F65FC07,ครูไทยเพื่อประชาชน,นาย,อนันท์,อาบสุวรรณ,8,65,ปริญญาโท,นักธุรกิจ (ธุรกิจส่วนตัว),ประกาศ
97AEEE89-34B4-4BEA-B7F0-0CD3C4A69A56,ครูไทยเพื่อประชาชน,นาย,อับดุลรอณีย์,เด็งสาแม,9,56,ปริญญาตรี,ทำสวน,ประกาศ
D226EE05-4144-4E94-B8FC-4F3315BC701C,ครูไทยเพื่อประชาชน,นาย,อวยชัย,วะทา,10,62,ปริญญาเอก,อาจารย์มหาวิทยาลัยราชภัฏมหาสารคาม,ประกาศ
976DE6AF-BC2B-4720-BE64-A893D98B251F,ครูไทยเพื่อประชาชน,นาย,สมยงค์,แก้วสุพรรณ,11,61,ปริญญาเอก,ทนายความ,ประกาศ
31D730EB-9692-49BB-933A-B17A317B0B57,ครูไทยเพื่อประชาชน,นาง,สุนทรี,เทพสุวรรณ,12,54,ปริญญาโท,ทนายความ,ประกาศ
522929E6-ADB2-44BA-AC23-904F611FB96B,ครูไทยเพื่อประชาชน,นาย,พีระ,ศรีศศิวงศ์,13,67,ปริญญาโท,-,ประกาศ
EDDE532F-954F-4105-812E-6A363FAB6009,ครูไทยเพื่อประชาชน,พันตำรวจเอก,มนิต,นิลพานิช,14,68,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
DBA8D34C-F1D0-4B3A-B397-CE1F2BDDCD69,ครูไทยเพื่อประชาชน,นาย,ธวัชชัย,เมืองนาง,15,64,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
220CD232-6637-451D-A164-A18AE06DB799,ครูไทยเพื่อประชาชน,นาย,ทองพูน,สุขเมือง,16,56,ต่ำกว่าปริญญาตรี,ทำไร่ ทำนา (เกษตรกร),ประกาศ
03E3B2CE-A3EF-4D47-8797-EC5B988B87A7,ครูไทยเพื่อประชาชน,นาย,อธิพงษ์,บุญเพลิง,17,39,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
A19B2D2D-353C-4808-8C5E-8CC57032E596,ครูไทยเพื่อประชาชน,นาย,ชาญศักดิ์,พุ่มมาก,18,64,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
F29951F6-358F-4C03-BE4B-A8D15608824C,ครูไทยเพื่อประชาชน,นาย,เกชา,เดชา,19,62,ปริญญาโท,รับราชการ,ประกาศ
4A073FAC-24FD-44B7-9316-4435C87F6318,ครูไทยเพื่อประชาชน,นาย,ชนก,หนูสมแก้ว,20,63,ปริญญาโท,ทนายความ,ประกาศ
0760889F-41A2-4098-A50B-CA32F9F4AAD9,ครูไทยเพื่อประชาชน,นาย,ธเนศ,ด่านวิบูลย์,21,44,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
C393B199-5972-4E56-BB14-A7076A2C337B,ครูไทยเพื่อประชาชน,นาย,ตรีเพชร,ศรีกระภา,22,62,ปริญญาโท,ผู้อำนวยการฝ่าย สนง.กกต.ขอนแก่น,ประกาศ
1205B60E-8BFA-40A2-A602-76D52E0AD3E6,ครูไทยเพื่อประชาชน,พ.ต.อ.,สมทรง,พละเดช,23,62,ปริญญาตรี,ข้าราชการตำรวจ,ประกาศ
CADF9C7C-A9F9-4255-B38C-2FFCBDBE1E9F,ครูไทยเพื่อประชาชน,นาย,นิพนธ์,ชูช่วยสุวรรณ,24,72,ปริญญาเอก,รับราชการ,ประกาศ
7A8CE3CE-2BF0-4262-BF2C-03EAE8207DE0,ครูไทยเพื่อประชาชน,นาย,นิพนธ์,ราชจริต,25,78,ปริญญาตรี,ข้าราชการครูบำนาญ,ประกาศ
451B6297-CFB3-414B-840F-E84824E28B04,ครูไทยเพื่อประชาชน,นาย,จรัล,เพ็ญประทุม,26,65,ปริญญาโท,ข้าราชการครู,ประกาศ
AF949B62-1D77-42C4-AFA7-195EB67A5A44,ครูไทยเพื่อประชาชน,พันตำรวจเอก,สาย,แคนดา,27,71,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
5DDAAC1C-7D33-4CA0-9733-B7337CABD760,ครูไทยเพื่อประชาชน,นาย,วีระศิลป์,ประเสริฐทรง,28,73,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
E1B4A0C5-2C8A-4B57-B7AC-6995FA5B6157,ครูไทยเพื่อประชาชน,นาย,เรืองชัย,กลางขุนทด,29,51,ปริญญาเอก,รับจ้าง,ประกาศ
7C12B002-00D0-48AF-9B02-36556F32A840,ครูไทยเพื่อประชาชน,นาย,วิรัช,จันทร์เกิด,30,58,ปริญญาโท,เจ้าของโรงเรียนเอกชน,ประกาศ
1E793AB4-4341-42AC-B1CB-6DC61F33E205,ครูไทยเพื่อประชาชน,นาย,สุพจน์,ดีสุข,31,70,ปริญญาโท,รับราชการครู,ประกาศ
6E672CF3-E1B9-4134-8821-0075252B9C2D,ครูไทยเพื่อประชาชน,นาย,คำปั่น,ตอชัยภูมิ,32,69,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
70DBA15E-F9B5-4D19-96A3-7EF258D735B3,ครูไทยเพื่อประชาชน,นาย,อนันต์,สนิทไทย,33,70,ต่ำกว่าปริญญาตรี,ทำธุรกิจทั่วไป,ประกาศ
86C257C2-B84F-47F2-AF52-C16B19FBB083,ครูไทยเพื่อประชาชน,นาง,ประภาพรรณ,ฝีมือสาร,34,50,ต่ำกว่าปริญญาตรี,รับเหมา - ขุดสระขุดคลอง ถมที่,ประกาศ
1FC01976-9561-4E91-A3B1-74E3EF8409F6,ครูไทยเพื่อประชาชน,นาย,บุญส่ง,สุวรรณศรี,35,68,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
8F6CB6FD-4916-49EC-A978-9506010F54BC,ครูไทยเพื่อประชาชน,นาง,วิเชียรรัตน์,พึ่งกลั่น,36,63,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
602F23B7-F272-4CB3-BA1F-B77B9F7CE30B,ครูไทยเพื่อประชาชน,นาง,สุภัชชกา,ศรแก้ว,37,64,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
5F199F82-748E-48FB-AC9C-8AAA09B4FDE1,ครูไทยเพื่อประชาชน,นาย,ธีทัต,ธนเพ็ญสิทธิ์,38,39,ปริญญาตรี,"ธุรกิจส่วนตัว , เกษตรกร",ประกาศ
402DA654-21E2-46DE-B8FB-6188A5B90E9E,ครูไทยเพื่อประชาชน,นาย,พิศาล,ชัยยงค์,39,55,ปริญญาตรี,รับจ้าง,ประกาศ
7AF636DC-6142-48AC-91C1-4FC76823A19A,ครูไทยเพื่อประชาชน,นาย,สรศักดิ์,มณีโรจน์,40,60,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
10BB88E3-C816-4D35-8CD9-65D91ED72892,ครูไทยเพื่อประชาชน,นางสาว,ปารีดะ,ตาเยะ,41,26,ปริญญาตรี,แม่บ้าน,ประกาศ
70A629C0-9664-4C28-9FBD-6770588C7829,ครูไทยเพื่อประชาชน,นาย,พวนชัย,โคตรชนะ,42,49,ปริญญาตรี,เจ้าของกิจการ,ประกาศ
3A37C82D-ADE7-430A-ABBC-483FCD43F1B6,ครูไทยเพื่อประชาชน,นาย,ธนเดช,วงษ์ใหญ่,43,56,ปริญญาโท,ข้าราชการครู,ประกาศ
B6ADEE7F-9882-44A0-A2D2-5A779C0027FA,ครูไทยเพื่อประชาชน,นาย,ศิรเมศร์,สุขกุลวรเศรษฐ์,44,50,ปริญญาโท,รับจ้าง,ประกาศ
F7D2F4CE-7CF4-4279-B202-6E4E70EE42CF,ครูไทยเพื่อประชาชน,นาง,สุนีย์,แก้วศรียงค์,45,62,ปริญญาตรี,ข้าราชการ สังกัดกระทรวงวัฒนธรรม,ประกาศ
DEB46387-756C-4C6E-BAF2-EE83A12A2333,ครูไทยเพื่อประชาชน,นางสาว,ชัญญพัชร์,โชคประสิทธิ์ผล,46,48,ปริญญาโท,-,ประกาศ
D23713DF-C185-49B2-BF1E-77FF5F338715,ครูไทยเพื่อประชาชน,นาง,บุษบา,วุฒิพงศ์,47,57,ปริญญาโท,บริษัท แอโร่่ น๊อตเฟลท หาดใหญ่ สาขากรุงเทพฯ,ประกาศ
40D4BB21-B272-4F2A-8BBE-5E863E667154,ครูไทยเพื่อประชาชน,นางสาว,จิตษฎาพร,เอก,48,35,ปริญญาเอก,ธุรกิจส่วนตัว,ไม่ประกาศ
61069DFA-6DAB-441E-AC13-63EA8CB61694,ครูไทยเพื่อประชาชน,นาย,เมธา,จันทร์หอม,49,50,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
7D164E37-A7D4-411E-AFD5-C42111A4A688,ครูไทยเพื่อประชาชน,นาย,ธนพล,บุตรชัยงาม,50,73,ปริญญาโท,อิสระ,ประกาศ
FF83D6E1-7F29-40DE-9D23-17CE5F406F9A,ครูไทยเพื่อประชาชน,นาย,เสถียร,แตะยา,51,67,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
A4C932D0-FD52-4064-A3AA-8F716F7587B2,ครูไทยเพื่อประชาชน,นาย,ณพล,ต่อโชติ,52,65,ปริญญาโท,ทนายความ,ประกาศ
4C031369-2EC6-4503-AECB-83C36861E303,ครูไทยเพื่อประชาชน,นาย,เจษฎา,พรมทอง,53,52,ต่ำกว่าปริญญาตรี,รับจ้าง เกษตรกร,ประกาศ
0E8F46CF-C946-48E1-A177-F3E26415A273,ครูไทยเพื่อประชาชน,นาย,ทองสุข,โหล่คำ,54,67,ต่ำกว่าปริญญาตรี,ทำนา,ประกาศ
8F36B5CE-0A3E-49C0-8B81-F8C1F145F6B3,ครูไทยเพื่อประชาชน,นาวาอากาศตรี,นพดล,นพคุณ,55,75,ต่ำกว่าปริญญาตรี,รับราชการทหารอากาศ,ประกาศ
B8FF7307-F11F-4E27-8EEB-51C3C981D7C2,ครูไทยเพื่อประชาชน,นาย,กิตติคม,หาวิรส,56,64,ต่ำกว่าปริญญาตรี,-,ประกาศ
CFBA4769-B01E-4BEE-9038-6879847E53BA,ครูไทยเพื่อประชาชน,นาย,บุญหนา,ศรีหาทับ,57,67,ต่ำกว่าปริญญาตรี,ทำนา,ประกาศ
A455DD56-78BB-48A2-B240-EF5A0A33A1A6,ครูไทยเพื่อประชาชน,นาย,โสฬส,บุญญาวงศ์,58,75,ต่ำกว่าปริญญาตรี,-,ประกาศ
50401B23-421B-4449-BBCF-2207DB2A5AA1,ครูไทยเพื่อประชาชน,นาย,ชิตภณ,วรอัครกุล,59,57,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
C2D61713-CF5E-4F07-9744-FA3B9433C000,ครูไทยเพื่อประชาชน,นาง,มะลิวรรณ,ผิวขาว,60,44,ต่ำกว่าปริญญาตรี,เกษตรกรรม,ประกาศ
09A67571-09C4-4B82-938F-C0E506323BBC,ครูไทยเพื่อประชาชน,นางสาว,ปุญชรัสมิ์,วงค์พานิชย์,61,47,ปริญญาตรี,ประกอบธุรกิจส่วนตัว,ประกาศ
AD280CF9-D3E7-4753-ABEC-E7E2CFA4EF1F,ครูไทยเพื่อประชาชน,นาย,เบียง,ชนะชัย,62,47,ต่ำกว่าปริญญาตรี,ทำนา,ประกาศ
A40637E4-09D6-4011-B253-AF0B64CCCB92,ครูไทยเพื่อประชาชน,นาย,วิชญ์พล,ผลมาก,63,58,ปริญญาเอก,รับจ้าง-อิสระ,ไม่ประกาศ
DBE6D4C4-A4EA-41B7-BBC5-48ECF0081E1A,ครูไทยเพื่อประชาชน,นาย,เกรียงไกร,ภูมิลักษณ์,64,65,ปริญญาตรี,ค้าขาย,ประกาศ
69C46C22-2C08-4767-8809-8D6B2DCC7ECE,ครูไทยเพื่อประชาชน,นาย,รัตนพงษ์,คำผง,65,68,ปริญญาตรี,ข้าราชการครู,ประกาศ
A9BA2274-E796-4E46-81CE-6880C61DA10F,ครูไทยเพื่อประชาชน,นาย,เพิ่มศักดิ์,ข่ายทอง,66,62,ปริญญาตรี,ข้าราชการบำนาญ ผู้อำนวยการโรงเรียน,ประกาศ
F1B4F46A-4DDD-4F32-9A6B-A9F3535C3938,ครูไทยเพื่อประชาชน,นาง,ภัทราวรรณ,ณรงค์รัตนกานต์,67,65,ปริญญาโท,อาจารย์ช่วยสอน,ประกาศ
0357314B-364E-4BE0-9DA7-141A824A7953,ครูไทยเพื่อประชาชน,นาย,ทวี,ทองบาง,68,48,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
A8A49231-FE71-4261-8ADD-EECE7AF9886F,ครูไทยเพื่อประชาชน,นาย,เล็ก,สุจันทร์,69,79,ต่ำกว่าปริญญาตรี,กลุ่มเกษตรกร,ประกาศ
A0593B68-4C3C-480F-B914-8DE0B7671817,ครูไทยเพื่อประชาชน,นาย,ชาญวิช,ฤทธิรงค์,70,55,ต่ำกว่าปริญญาตรี,พนักงานบริษัท,ประกาศ
E15D197B-20DF-47B4-8DE9-B8E459CCF760,ครูไทยเพื่อประชาชน,นาย,พงศ์ศรัณย์,ตานะประทีปกุล,71,48,ปริญญาโท,นักธุรกิจ,ประกาศ
2AEB1EC7-E8DD-405D-BF15-F1B6448F4A22,ครูไทยเพื่อประชาชน,นาย,บงกช,บ่อกลาง,72,56,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ไม่ประกาศ
24C3C52C-2927-465C-A117-59F45FBDC5EE,ครูไทยเพื่อประชาชน,นาย,ชัยวริศว์,ธนถาวรกิตติ์,73,45,ปริญญาเอก,ประกอบธุรกิจส่วนตัว,ประกาศ
8EA2D506-A7A7-4325-9A04-C8F700C0498E,ครูไทยเพื่อประชาชน,นาย,ธนัช,มังคะราช,74,54,ต่ำกว่าปริญญาตรี,ค้าขาย,ไม่ประกาศ
1CB43ABA-9D69-48EC-B184-17D36F8575B7,ครูไทยเพื่อประชาชน,นางสาว,สิดากานต์,แรกภิปราย,75,37,ปริญญาตรี,ครู,ไม่ประกาศ
57AFFD90-019F-4198-A00D-7491C8A37815,ครูไทยเพื่อประชาชน,นาย,วรเชษฐ์,ค่วยเทศ,76,63,ปริญญาโท,รับราชการ (ครู),ประกาศ
A2B45DE6-DCB4-4882-A78D-B590929D3059,ครูไทยเพื่อประชาชน,นาย,สุพัต,อ่อนน้อม,77,63,ปริญญาตรี,ข้าราชการครู,ประกาศ
39375925-5DFF-4D47-942C-EF6956710FEE,ครูไทยเพื่อประชาชน,นาย,สะมาแอ,กูโน,78,72,ต่ำกว่าปริญญาตรี,ไม่ระบุ,ประกาศ
23B1E3BB-360E-447D-B175-43D9035C2F00,ครูไทยเพื่อประชาชน,นาย,ครรชิต,สารกิจอาภา,79,68,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
A1FF670A-D949-470C-911D-B8DF9B7E0D4E,ครูไทยเพื่อประชาชน,นาย,เชาวลิตร,บินมูสอ,80,56,ต่ำกว่าปริญญาตรี,ค้าขาย,ประกาศ
E3BCD0BF-8B4F-43F5-A12A-1A625E89398B,ครูไทยเพื่อประชาชน,นาง,วนิดา,โยทองยศ,81,67,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
2AA15ED2-BDE5-4DBA-9361-CAF1DBB21604,ครูไทยเพื่อประชาชน,พันตำรวจโท,จรูญ,ป้อมกฤษณ์,82,63,ปริญญาโท,ข้าราชการบำนาญตำรวจ,ประกาศ
D8BE26BC-1A34-43D8-A6CB-7130CD59A954,คลองไทย,นาย,สายัณห์,อินทรภักดิ์,1,62,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
C67B4E6B-C217-4717-90AC-C0BA1DD9749A,คลองไทย,นาย,สุทิน,ช่วยธานี,2,61,ต่ำกว่าปริญญาตรี,ธุรกิจ,ประกาศ
A17739A3-525E-428E-B2E1-5078179512CF,คลองไทย,นางสาว,พรประภา,เลอพิพัฒวรพงศ์,3,56,ปริญญาตรี,ประธานบริหารเครือเลอพิพัฒน์ เด็นทัล กรุ๊ป,ประกาศ
BA1F4C4D-D46D-40D8-A3AA-72A755921FDE,คลองไทย,พันตำรวจเอก,อดิษร,ตันเพชรทองกุล,4,63,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
513F113A-066F-4276-BBBF-56FC282C6B5D,คลองไทย,นาย,จำนง,อินทรภักดิ์,5,64,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
F3C5D5DB-211C-4804-BD92-DB7EC468D109,คลองไทย,นาย,พนิต,ศรีโยธา,6,54,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
1F230B7E-D840-4A4D-B662-A20DF1F107C3,คลองไทย,นางสาว,ทัศนีย์วรรณ,รัตนตรัยวงษ์,7,36,ต่ำกว่าปริญญาตรี,แม่บ้าน,ประกาศ
986A0B08-478B-4500-914B-3AFB0DC79F7F,คลองไทย,นาย,สวาท,บัวผัน,8,62,ต่ำกว่าปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
A4CF4562-0932-4676-B50B-9A74AFC68473,คลองไทย,จ่าเอก,พิภูษณ,อินจันทร์,9,66,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
EDFFBC0F-292B-4D7C-BC4F-916FBD09B9A5,คลองไทย,นาย,ภัสกร,ช่วยวงศ์,10,68,ปริญญาตรี,ธุรกิจเครือข่าย,ประกาศ
871FD43A-2F60-4215-B5DD-E4C769FD2562,คลองไทย,ร้อยตำรวจโท,จีรฤทธิ์,เกตุหนู,11,62,ต่ำกว่าปริญญาตรี,ราชการตำรวจ,ประกาศ
ACA21008-DC5B-44DB-8304-FA7D07190630,คลองไทย,จ่าสิบเอก,สุทธิรักษ์,จำริห์,12,58,ต่ำกว่าปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
C84A87E1-8660-431B-85AA-CE4DC3A1F125,คลองไทย,นาย,บุญฤทธิ์,มากไข่,13,61,ต่ำกว่าปริญญาตรี,ช่างศิลป์,ประกาศ
BE1AE349-F93D-49AB-988B-EC1728C252D3,คลองไทย,นาย,จำแลง,นิลโมจน์,14,62,ปริญญาโท,ข้าราชการบำนาญ,ประกาศ
43841FE2-8496-449D-8FA1-CB91AF000B5E,คลองไทย,นาย,ชัด,จักรราช,15,61,ต่ำกว่าปริญญาตรี,ทำสวน,ประกาศ
A78AA463-F305-4A29-A6BA-910375795B6D,คลองไทย,นาย,ชวเอิบ,อินทรภักดิ์,16,60,ปริญญาโท,รับราชการ,ประกาศ
506EDDEE-0AD6-4AC4-BD3C-5F96DCC8C6D4,คลองไทย,นาย,ประสิทธิ์,พลฤทธิ์,17,62,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
6134A5D1-D601-4CE4-BF62-391BB059989D,คลองไทย,นาย,อรุณ,เทพแก้ว,18,68,ปริญญาตรี,ค้าขาย,ประกาศ
F73A9789-7374-4215-8A83-6883E14B72E8,คลองไทย,นาย,จำรอง,แก้วบุญทอง,19,53,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
00188DE1-E65C-4148-A4F1-01F384CCD677,คลองไทย,นาย,ธรรมนูญ,ขวัญเชื้อ,20,55,ต่ำกว่าปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
D17C3B16-DA63-42AD-B421-B5E063C306C7,คลองไทย,นาย,สุทัศน์,ด้วงเอียด,21,62,ปริญญาโท,ข้าราชการครู,ประกาศ
072F85A7-740C-4CAC-8160-00429A1781E6,คลองไทย,พันตำรวจโท,เก่งกาจ,สุขสวัสดิ์,22,62,ปริญญาตรี,ข้าราชการตำรวจ,ประกาศ
A50D2793-8301-43F6-8E6E-F65DBD7F5C03,คลองไทย,นาย,วริทธิ์ธร,ชำริห์,23,44,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
F9319D8C-AC04-43F9-89F6-CB386E4C238C,คลองไทย,นาย,ชม,จันทร์พุ่ม,24,67,ปริญญาโท,เกษตรกร,ประกาศ
AF7BD125-19B5-4E67-9984-4B19235A2502,คลองไทย,นาย,คารม,ชูทวี,25,53,ต่ำกว่าปริญญาตรี,รับเหมาก่อสร้าง,ประกาศ
0F500C77-B3BE-4A79-A476-A6E172AF843F,คลองไทย,นางสาว,พัชรินทร์,สังข์เจริญ,26,41,ปริญญาโท,ธุรกิจส่วนตัว,ประกาศ
C02E8949-F872-491E-A4E6-4016CF768845,คลองไทย,นาง,ณภัทร,หมู่ผึ้ง,27,65,ปริญญาตรี,ข้าราชการบำนาญ,ประกาศ
8D62E987-6A13-4AAB-8ABF-2FAEDFB462E0,ความหวังใหม่,นาย,ชิงชัย,มงคลธรรม,1,67,ปริญญาตรี,รับราชการครู,ประกาศ
E7040EB7-961F-49A1-BE54-11E44664ED7A,ความหวังใหม่,นาย,วิทยา,ปราบภัย,2,49,ต่ำกว่าปริญญาตรี,เกษตรกร,ประกาศ
CB9B0E02-74B3-432A-A525-65C222D0CCA6,ความหวังใหม่,นาย,วิเศษ,สุริโย,3,69,ต่ำกว่าปริญญาตรี,รับจ้าง,ประกาศ
C7D5C052-2D1F-49EE-B416-7C63CFFBA6CD,ความหวังใหม่,นาย,เสกสรร,ชดกลาง,4,60,ปริญญาตรี,ธุรกิจส่วนตัว,ประกาศ
E2060AFB-BBC0-4DB4-A01B-45B6751C0674,ความหวังใหม่,นาย,กฤติเดช,ภักดีล้น,5,57,ปริญญาตรี,ไม่ระบุ,ประกาศ
81FECAE3-1A2F-4DCE-8ED2-FBACEDA06431,ความหวังใหม่,นาย,ประเสริฐ,เสริมทรัพย์,6,47,ต่ำกว่าปริญญาตรี,ประกันชีวิต,ประกาศ
